Reference,PPI,PPCT,PPCT2,ANCOVA,Naive (ML only),lambda,rho,pred_bias
2.0187046352217806,1.927647695424643,1.9445462462994483,1.9444642429903607,1.9446151650116394,-13.221633028788997,0.8144177597835655,0.40353511268441705,15.185789191876927
2.5019075379697355,2.4436095249369165,2.4569511193863085,2.457096296760268,2.4572494509045866,-12.543051164814564,0.7711483847334241,0.370253045804856,14.687853091749243
2.8327029008925066,2.6581958627642037,2.6895371046182905,2.68978217467099,2.689771213920812,-12.46126025205038,0.8204012732653022,0.39623126479713106,14.890652483543857
2.2964772784782235,2.364076373202663,2.3697131626012,2.3704246017591872,2.3699049342930394,-13.098973809229237,1.0833855752287083,0.46502754492426435,15.201117315930764
2.292247048180993,2.2056995414263842,2.2239136521052183,2.2241149707769683,2.223858354098611,-12.611910860094465,0.7895478291422411,0.4001215873325976,14.791251079528799
2.5437943002201604,2.3046607505877343,2.275977781995453,2.276244751578378,2.27545097555538,-12.490820388961332,1.1199453971906912,0.4663961720663231,14.730244134213471
1.527715861544182,1.6770996424711369,1.662173836609203,1.662111952790205,1.6625297263688137,-13.424818465352056,0.900084160614247,0.4904908241187605,15.103779302580785
1.8877036514779924,2.039964528614859,2.025803088563026,2.0257571083070447,2.025652187729854,-12.956571438070242,0.9069922601384824,0.49132123143794565,15.02040665164967
2.144720524313221,2.086682482037771,2.099214653514495,2.0992057043448966,2.0991961804798533,-12.925148279191882,0.7840697069476322,0.43277260300770054,14.957209625806776
1.5719957249381997,1.9725850995760084,1.9784513094304967,1.9730982207902832,1.9784390740112623,-13.351961094319547,1.01464394770778,0.47787711163326635,15.266001070467036
1.8113870160388577,1.8239374070699377,1.8250397780125787,1.8250510788545402,1.8250335386736167,-13.489504388403542,1.0878355853543435,0.4522338344917759,15.26964897977565
2.377166129901488,2.427245471091913,2.409737677749643,2.4112616035160466,2.4095558041420104,-12.47854489649773,0.6503988885217735,0.3658110767039365,14.748646917712959
1.511096493449373,1.5738065638882706,1.5848303429846373,1.58500499334227,1.5847843289179873,-13.614065017560943,1.1757896143189246,0.48008786923219504,15.29778884270891
1.7755147895362189,1.969611775651184,1.9357193365212069,1.9337590097901778,1.9383518864434923,-12.950716258124444,0.8253840010173963,0.41359996716592573,14.73984560070363
1.3310632432842762,1.4632139772352966,1.4167659460319628,1.4194638010091165,1.4168676256598203,-13.510585289718527,0.6485223364665611,0.39573399118834723,15.105826030932127
1.75465393545738,1.8261520472614012,1.8257961912863536,1.8261151717460746,1.825683554296337,-13.11768376739932,0.995022861918044,0.4106130271668221,14.869964349997709
1.6677701809472327,1.592188263459921,1.5933562534706904,1.5933324680939722,1.5935484726931035,-13.820527456389126,0.9845467004596042,0.4267109504063055,15.582435338805622
1.4655535147046719,1.4793501010767607,1.4797186717865334,1.4792723912741186,1.479954780318895,-13.277855447559284,1.0267146306943633,0.3834567375179915,15.006246816371133
3.002883403161582,2.8815883532912365,2.9025024379492623,2.9022709907699538,2.9025760254014363,-12.31650698972563,0.827576766897067,0.43640259308332363,14.802254471610345
